종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
미디어젠,14000,50,-0.36,500,656,4685,2.07,45745,-82.84,-2.02
오스테오닉,3910,60,1.56,500,656,16773,1.76,28490,-9.38,-20.21
폴라리스우노,4830,25,0.52,500,656,13574,11.209999999999999,62021,19.959999999999997,2.6
윙입푸드,1365,35,2.63,0,655,47973,0,5729200,3.67,11.7
S&K폴리텍,5590,110,2.01,500,654,11704,5.119999999999999,72014,-17.150000000000002,-6.92
세보엠이씨,6200,40,-0.64,500,653,10530,6.23,21866,12.53,4.55
아세아텍,2900,15,0.52,500,652,22500,4.59,137623,13.68,4.74
리노스,1495,165,12.41,500,651,43576,4.41,19590083,-29.9,-7.96
신라섬유,2670,40,-1.48,100,648,24278,3.8099999999999996,1213870,190.70999999999998,2.38
신진에스엠,7220,40,0.56,500,648,8972,1.52,32842,-722,-1.61
지엘팜텍,1245,10,0.81,100,646,51887,0.72,342650,-18.58,-40.260000000000005
대성미생물,16950,300,-1.74,500,644,3800,1.6900000000000002,13744,192.60999999999999,4.28
대동기어,7160,60,0.8500000000000001,500,644,8988,1.35,335382,13.16,3.8299999999999996
ES큐브,4740,20,0.42000000000000004,5000,643,13564,3.75,29346,11.05,-39.39
GRT,951,0,0,0,641,67375,66.77,0,1.4,10.32
코스나인,1440,15,1.05,500,640,44428,0.6,382181,-2.8499999999999996,NA
티라유텍,11700,0,0,100,639,5461,0.62,10365,-15,-3.9699999999999998
웨이브일렉트로,4260,20,0.47000000000000003,500,638,14971,2.23,23528,-2.92,-273.02
네오오토,8080,90,-1.1,500,636,7875,3.73,54177,8.59,4.37
삼진,10600,50,-0.47000000000000003,500,636,6000,1.6400000000000001,18884,12.57,8.360000000000001
포시에스,7320,60,0.8300000000000001,500,635,8674,1.75,50163,14.94,7.41
파인디지털,6210,50,-0.8,500,634,10211,3.32,27313,11.44,6.96
코스온,2630,0,0,500,630,23941,0.74,0,-0.8500000000000001,-36.24
오가닉티코스메틱,739,4,-0.54,0,620,83948,1.02,927176,3.5,2.69
아스타,5380,30,0.56,500,618,11493,0.39,19595,-5.95,-96.86999999999999
우림기계,4565,85,-1.83,500,616,13500,2.46,173429,-6.04,NA
딜리,2095,55,2.7,100,615,29350,16.06,677587,49.879999999999995,-0.99
동일철강,8360,40,-0.48000000000000004,500,614,7345,4.55,71059,2.3,-15.66
제이엠티,3665,30,0.8300000000000001,500,614,16748,2.64,120475,7.45,9.39
SGA,1160,5,0.43000000000000005,1000,613,52862,3.12,294436,4.79,12.43
TPC,4150,20,-0.48000000000000004,500,613,14774,2.42,61073,10.25,13.850000000000001
싸이버원,13200,250,1.93,500,613,4641,0.32,16909,28.09,16.6
우리로,1910,0,0,500,612,32050,1.8,0,-12.57,-34.37
SGA솔루션즈,1325,0,0,100,612,46176,2.36,226912,7.57,27.09
알톤스포츠,4790,75,-1.54,500,611,12746,0.48000000000000004,45351,7.88,29.7
원풍물산,1500,5,0.32999999999999996,500,610,40694,3.1,40814,-7.14,-20.24
지에스이,2025,15,-0.74,500,607,29988,2.63,1346319,11.91,6.14
네오티스,4620,30,-0.65,500,607,13141,8.98,66778,243.16,0.45
PN풍년,6060,50,-0.8200000000000001,500,606,10000,2.09,143827,34.63,NA
영신금속,3155,45,-1.41,500,605,19174,3.54,82646,116.85,-5.14
샘코,2015,0,0,500,603,29915,1.31,0,-7.41,-71.55
유테크,1730,0,0,500,602,34821,0.23,0,-4.4,-37.46
네오펙트,3175,0,0,500,600,18906,0.8,81383,-4.67,-108.55
누리플랜,8400,50,0.6,500,597,7103,3.54,123114,33.07,10.07
브리지텍,4965,85,-1.6800000000000002,500,593,11952,3.64,319581,34.720000000000006,2.6
명성티엔에스,9210,0,0,500,593,6441,0.8400000000000001,0,-8.89,-30.08
서산,2965,50,-1.6600000000000001,100,593,20000,2.19,62677,32.58,-9.69
백금T&A,3610,15,-0.41000000000000003,500,593,16419,1.7,95105,-57.3,-13.729999999999999
한일화학,16750,400,2.4499999999999997,500,588,3510,5.35,30215,24.21,-1.42
휴네시온,6030,0,0,500,579,9608,3.46,62222,14.09,13.31
아이컴포넌트,8150,500,-5.78,500,576,7071,10.03,119807,79.9,1.3800000000000001
상신전자,4045,75,1.8900000000000001,500,576,14245,1.6600000000000001,113302,22.1,5.87
신라에스지,14400,50,0.35,500,576,4000,0.22,21447,76.6,-9.05
시큐브,1370,10,-0.72,100,575,42000,3.82,136987,23.62,7.79
CSA 코스믹,1510,35,2.3699999999999997,500,573,37934,0.28,58063,-3.08,-103.35
나노,2110,0,0,500,571,27068,1.52,377362,-4.04,-16.279999999999998
씨엔플러스,839,0,0,100,570,67963,0.1,0,-139.83,-21.959999999999997
로스웰,316,4,1.28,0,569,180156,34.42,330466,-0.81,-34.55
성우테크론,5890,180,-2.9699999999999998,500,565,9587,2.51,306571,10.850000000000001,7.35
COWON,2860,0,0,500,564,19720,0.76,0,-22,1.3
셀바스헬스케어,2595,105,-3.8899999999999997,500,563,21681,2.24,79874,-865,3.1
