종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
KOSEF 국고채10년,120060,555,-0.46,0,1321,1100,0,3145,NA,NA
신일전자,1855,5,-0.27,500,1318,71048,3.15,1006973,15.99,11.08
부국철강,6580,800,-10.84,500,1316,20000,1.05,7621809,20,0.72
유니온머티리얼,3130,25,-0.79,500,1315,42000,0.82,157678,-44.71,-1.59
KBSTAR 미국나스닥100,13400,75,0.56,0,1313,9800,0,72376,NA,NA
아센디오,2065,15,0.73,500,1311,63509,0,89957,29.93,-124.63
TRUE 코스피 양매도 5% OTM ETN,8740,10,0.11,0,1311,15000,0,3643,NA,NA
샘표,45400,50,0.11,1000,1306,2876,6.13,3186,9.32,10.5
KODEX 미국S&P500선물(H),21395,195,0.92,0,1305,6100,0.01,48682,NA,NA
DRB동일,6540,50,-0.76,500,1303,19930,1.83,21881,-26.37,0.66
TIGER 현대차그룹+펀더멘털,25340,250,-0.98,0,1302,5140,0.08,31050,NA,NA
TRUE 레버리지 S&P500 선물 ETN(H),25980,435,1.7,0,1299,5000,0,744,NA,NA
TIGER 미국달러단기채권액티브,10075,0,0,0,1296,12860,0,61399,NA,NA
아모레G우,20100,0,0,500,1295,6444,47.93,14864,12.8,NA
평화산업,2350,175,8.05,500,1290,54902,1.49,23544779,47,-26.4
크라운제과,10300,150,-1.44,200,1290,12524,1.72,18775,8.99,11
서울식품,348,1,0.29,100,1287,369914,2.43,3050134,-20.47,-9.36
한창제지,2155,5,0.23,500,1286,59667,1.51,376044,9.02,11.72
TRUE 레버리지 천연가스 선물 ETN(H),12835,1410,12.34,0,1284,10000,0,110648,NA,NA
KC코트렐,7290,130,1.82,500,1283,17600,1.48,149259,-2.3,-148.07
대신 골드 커버드콜 타겟 5%인컴 ETN(H),12800,110,-0.85,0,1280,10000,0,93,NA,NA
기신정기,4370,60,-1.35,500,1276,29200,65.64,35627,11.26,4.06
인팩,12700,150,1.2,500,1270,10000,2.21,35620,11.78,3.55
미래에셋 코스피 양매도 5% OTM ETN,8395,0,0,0,1259,15000,0,0,NA,NA
